file_name,synth_prediction
POSCAR_mp-1007778_copy1_opt.vasp,1
POSCAR_mp-1007778_copy2_opt.vasp,1
POSCAR_mp-1007786_copy1_opt.vasp,1
POSCAR_mp-1007786_copy2_opt.vasp,1
POSCAR_mp-1007819_copy1_opt.vasp,0
POSCAR_mp-1007819_copy2_opt.vasp,0
POSCAR_mp-1007824_copy1_opt.vasp,1
POSCAR_mp-1007824_copy2_opt.vasp,1
POSCAR_mp-1007852_copy1_opt.vasp,0
POSCAR_mp-1007852_copy2_opt.vasp,0
POSCAR_mp-1007853_copy1_opt.vasp,0
POSCAR_mp-1007853_copy2_opt.vasp,0
POSCAR_mp-1007854_copy1_opt.vasp,0
POSCAR_mp-1007854_copy2_opt.vasp,0
POSCAR_mp-1007855_copy1_opt.vasp,0
POSCAR_mp-1007855_copy2_opt.vasp,0
POSCAR_mp-1007862_copy1_opt.vasp,0
POSCAR_mp-1007862_copy2_opt.vasp,0
POSCAR_mp-1007922_copy1_opt.vasp,0
POSCAR_mp-1007922_copy2_opt.vasp,0
POSCAR_mp-1007923_copy1_opt.vasp,0
POSCAR_mp-1007923_copy2_opt.vasp,0
POSCAR_mp-1007974_copy1_opt.vasp,0
POSCAR_mp-1007974_copy2_opt.vasp,0
POSCAR_mp-1007975_copy1_opt.vasp,0
POSCAR_mp-1007975_copy2_opt.vasp,0
POSCAR_mp-1007992_copy1_opt.vasp,0
POSCAR_mp-1007992_copy2_opt.vasp,0
POSCAR_mp-1007_copy1_opt.vasp,1
POSCAR_mp-1007_copy2_opt.vasp,1
POSCAR_mp-1008223_copy1_opt.vasp,1
POSCAR_mp-1008223_copy2_opt.vasp,1
POSCAR_mp-1008274_copy1_opt.vasp,0
POSCAR_mp-1008274_copy2_opt.vasp,0
POSCAR_mp-1008275_copy1_opt.vasp,0
POSCAR_mp-1008275_copy2_opt.vasp,0
POSCAR_mp-1008278_copy1_opt.vasp,0
POSCAR_mp-1008278_copy2_opt.vasp,0
POSCAR_mp-1008279_copy1_opt.vasp,0
POSCAR_mp-1008279_copy2_opt.vasp,0
POSCAR_mp-1008280_copy1_opt.vasp,0
POSCAR_mp-1008280_copy2_opt.vasp,0
POSCAR_mp-1008282_copy1_opt.vasp,0
POSCAR_mp-1008282_copy2_opt.vasp,0
POSCAR_mp-1008284_copy1_opt.vasp,0
POSCAR_mp-1008284_copy2_opt.vasp,0
POSCAR_mp-1008285_copy1_opt.vasp,0
POSCAR_mp-1008285_copy2_opt.vasp,0
POSCAR_mp-1008349_copy1_opt.vasp,0
POSCAR_mp-1008349_copy2_opt.vasp,0
POSCAR_mp-1008376_copy1_opt.vasp,0
POSCAR_mp-1008376_copy2_opt.vasp,0
POSCAR_mp-1008471_copy1_opt.vasp,1
POSCAR_mp-1008471_copy2_opt.vasp,0
POSCAR_mp-1008483_copy1_opt.vasp,0
POSCAR_mp-1008483_copy2_opt.vasp,0
POSCAR_mp-1008487_copy1_opt.vasp,0
POSCAR_mp-1008487_copy2_opt.vasp,0
POSCAR_mp-1008489_copy1_opt.vasp,0
POSCAR_mp-1008489_copy2_opt.vasp,0
POSCAR_mp-1008490_copy1_opt.vasp,0
POSCAR_mp-1008492_copy1_opt.vasp,0
POSCAR_mp-1008492_copy2_opt.vasp,1
POSCAR_mp-1008500_copy1_opt.vasp,0
POSCAR_mp-1008500_copy2_opt.vasp,0
POSCAR_mp-1008505_copy1_opt.vasp,0
POSCAR_mp-1008505_copy2_opt.vasp,0
POSCAR_mp-1008524_copy2_opt.vasp,0
POSCAR_mp-1008554_copy1_opt.vasp,0
POSCAR_mp-1008554_copy2_opt.vasp,0
POSCAR_mp-1008555_copy1_opt.vasp,0
POSCAR_mp-1008555_copy2_opt.vasp,0
POSCAR_mp-1008558_copy1_opt.vasp,1
POSCAR_mp-1008600_copy1_opt.vasp,1
POSCAR_mp-1008600_copy2_opt.vasp,0
POSCAR_mp-1008610_copy1_opt.vasp,1
POSCAR_mp-1008610_copy2_opt.vasp,1
POSCAR_mp-1008625_copy1_opt.vasp,1
POSCAR_mp-1008625_copy2_opt.vasp,0
POSCAR_mp-1008626_copy1_opt.vasp,0
POSCAR_mp-1008626_copy2_opt.vasp,1
POSCAR_mp-1008630_copy1_opt.vasp,0
POSCAR_mp-1008630_copy2_opt.vasp,0
